"a1","b1","a2","b2","p"
"3.23379694729674","0.944264216334951","2.25055744048724","3.74074112774852","0.279218205935653"
"2.8887739312093","0.880639054341355","3.78218718946858","6.31088501056646","0.322233009604129"
"2.15688014336118","0.470047071708743","1.89940014013289","2.53311714085924","0.138457814779989"
"3.15298259593388","1.00519422182666","23.1163530234115","35.8470892748438","0.345350432076057"
"2.93953649632477","0.856832087408435","26.3820140096092","36.8879917544388","0.30408099838036"
"2.3091926292066","0.408347818078376","2.0636022097331","2.24951922338771","0.0921549920850136"
"3.06994041378151","0.871403800459512","7.59099394868232","10.7271934029171","0.283235541918777"
"2.7873475142988","0.851689695242414","17.8621763880058","25.4585932700716","0.302409417479203"
"2.59672348335801","0.585559996499938","2.69999139427649","3.1512102695974","0.16410302471339"
"2.54646105809856","0.679299384576579","4.46812417796576","5.92802936345409","0.231430940827615"
"2.74850480584556","0.68463149276238","4.79559258235966","5.76565563650798","0.195003109308288"
"2.99465675894156","0.890888929740853","7.50075765996561","11.4751872922291","0.308526151385421"
"36.500457313901","2.84436626848975","1.59556984073533","1.39946532669303","0.0226324516979487"
"2.72064319586807","0.839041330659125","10.0981734722772","15.7939323504686","0.316876385379435"
"2.94250952324112","0.810221123318125","4.03313294932865","5.57963026381689","0.261337901205432"
"2.74483502032386","0.735465849465501","7.99960202073654","10.4603234539324","0.241778940114951"
"2.57363888816164","0.592552988584899","2.04670825332179","2.56540388254612","0.169363772441391"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.83178178589328","0.809405135766264","8.02889949867439","11.1215169302381","0.276137180860409"
"3.47245577776177","0.965840596690531","6.62761835166547","8.46013333146654","0.26891091939113"
"2.43978897549206","0.488345656044736","1.86204164303271","2.24147404796455","0.132335178582969"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.45988083723643","0.724929369149325","2.85997621901393","5.02961890273759","0.286330121328886"
"2.49780038086303","0.710764111184172","4.3957450245608","7.19011466432661","0.286754352077999"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.50468030871031","0.737469625467029","9.62532072348817","15.0980235187016","0.285786909279351"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.82801198455427","0.882737790960085","2.97882571624312","5.61716464226343","0.31706531204555"
"2.76754682519533","0.774904086906448","7.96849459768421","11.8340345707717","0.268085725019188"
"2.34712629298235","0.391880546396312","1.50686463377706","1.73510918180184","0.0774186400615956"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.35370980405737","0.560407459706254","2.76461621583834","3.4419149270693","0.180629530687858"
"2.38636122542192","0.425546963070457","2.54301588589745","2.64434633923479","0.0995081308941037"
"4.10506048599816","1.17018443917203","8.95030965113376","13.6298131057512","0.296445283853581"
"3.1013950541972","0.836643707614898","7.17731166661564","9.86164113704113","0.244761781097072"
"2.89695260204237","0.84440532713854","7.74107918154268","10.3218471444835","0.300584818103191"
"2.80509907070998","0.827981106940843","12.232888554658","17.8295991005494","0.312399863731886"
"3.06590596824815","0.840845602486531","12.065363251376","16.4713080353751","0.264544996272726"
"2.88094959847254","0.772095741043934","8.47221297354854","10.3157554541569","0.259682503996427"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.58963659912192","0.830890604642855","5.30725019587871","8.41003197458952","0.328833910294137"
"2.12470662922062","0.34633963146109","1.63699611704657","1.77967149400103","0.071351781848357"
"3.04993039863918","0.813646262197144","3.68272349065126","4.64468971982237","0.210827063712402"
"Error in autoHyper(data = squash, theta_init = theta_init, squashed = TRUE,  : 
  consistent convergence failed --
  try squashing data with another 'bin_size' value --
  if that fails, try using zeroes with data squashing --
  or, try using neither zeroes nor data squashing
",NA,NA,NA,NA
"2.45563540214216","0.412206344906551","1.88865501684364","2.01446388214753","0.081225916162111"
"2.76464171202774","0.419064455173198","2.1053175628789","2.11788115711821","0.0604070468349513"
"2.71571037236046","0.413331852628036","1.77727957289158","1.82903897857841","0.0666871364346783"
"2.95116951873824","0.802359680838812","2.84364849441474","4.34421058839171","0.248705788215431"
"3.73203953504037","1.07495403745741","5.56347257329181","8.18559130055186","0.291020625822546"
"2.28327418797078","0.408079246278849","1.96431007391286","2.10516562843493","0.0933988538513102"
"2.48274376585131","0.390275383371626","1.76858870017324","1.97722952537507","0.0737213788654857"
"2.38587152195834","0.390343544713404","2.48428663162265","2.40946255166736","0.0818146049864417"
